,Centro de Teleinformática y Producción Industrial - Regional Antioquia,,,,,Pág.1 de2,,
,Número de Documento:,FS-DOC HISTORIA DE USUARIO ,,Fecha de Creación:,Elaborado por:,,,
,,,,25/05/2026,,,,
,Nombre del Documento: ,,Historias de Usuario Epicas.,,,,,
,,,,,,,,
,Enunciado de la Historia,,,,Criterios de Aceptación,,,
Identificador (ID) de la historia,Rol,Característica / Funcionalidad,Razón / Resultado,Número (#) de escenario,Criterio de aceptación (título),Contexto,Evento,Resultado / Comportamiento esperado
HU-001,Como una clienta.,Necesito ver un catálogo digital de prendas.,Con la finalidad de explorar la ropa disponible en el almacén.,1,Visualización del catálogo.,En caso que existan productos activos en la base de datos.,Cuando ingrese a la página principal de la tienda.,"El sistema mostrará una cuadrícula con la foto principal, nombre y precio de cada prenda."
HU-002,Como una clienta.,Necesito ver el detalle completo de una prenda.,Con la finalidad de conocer la descripción y tallas antes de comprar.,1,Acceso a detalles del producto.,En caso que seleccione una prenda específica del catálogo.,Cuando haga clic sobre la imagen o nombre del producto.,"El sistema desplegará una vista con fotos adicionales, descripción, precio y selector de tallas."
HU-003,Como una clienta.,"Necesito seleccionar una categoría (ej. blusas, faldas).",Con la finalidad de filtrar los productos según lo que busco.,1,Categoría con productos disponibles.,En caso que la categoría seleccionada tenga al menos un producto activo en base de datos.,Cuando seleccione una opción en el menú de categorías.,El sistema actualizará la vista mostrando únicamente las prendas de esa categoría.
,,,,2,Categoría sin productos.,En caso que una categoría no tenga productos asociados o estén todos inactivos.,Cuando seleccione una opción en el menú de categorías.,"El sistema mostrará la categoría vacía con el mensaje ""Actualmente no hay productos en esta categoría""."
HU-004,Como una clienta.,Necesito realizar búsquedas por nombre de la prenda.,Con la finalidad de encontrar un artículo específico rápidamente.,1,Búsqueda exitosa.,En caso que exista una coincidencia exacta o parcial en el nombre del producto.,Cuando ingrese un texto en la barra de búsqueda y presione 'Enter'.,El sistema mostrará un listado con los productos que coincidan con la palabra ingresada.
,,,,2,Búsqueda sin resultados.,En caso que ninguna prenda coincida con el texto ingresado.,Cuando ingrese un texto en la barra de búsqueda y presione 'Enter'.,"El sistema mostrará el texto ""No se encontraron resultados para su búsqueda"" y sugerirá ver el catálogo completo."
HU-005,Como una clienta.,Necesito agregar productos a un carrito de compras.,Con la finalidad de agrupar las prendas que deseo adquirir.,1,Adición exitosa al carrito.,En caso que la prenda seleccionada tenga inventario disponible.,"Cuando presione el botón ""Agregar al carrito"".",El sistema actualizará el icono del carrito sumando una unidad más.
HU-006,Como una clienta.,Necesito seleccionar una talla antes de agregar al carrito.,Con la finalidad de asegurar que la prenda me quede bien.,1,Validación de talla obligatoria.,En caso que la prenda requiera especificar una talla.,Cuando intente agregar al carrito sin haber marcado una talla.,"El sistema mostrará una alerta indicando ""Por favor, selecciona una talla"" y no agregará el producto."
HU-007,Como una clienta.,Necesito ver el resumen de mi carrito de compras.,Con la finalidad de verificar los artículos y el costo total.,1,Desglose del carrito.,En caso que el carrito tenga al menos un producto agregado.,Cuando haga clic en el icono del carrito.,"El sistema desplegará una lista de las prendas elegidas, cantidades, subtotal y total a pagar."
HU-008,Como una clienta.,Necesito modificar la cantidad de prendas en el carrito.,Con la finalidad de llevar más unidades del mismo artículo.,1,Actualización de cantidades y total.,En caso que haya stock suficiente para la nueva cantidad solicitada.,Cuando modifique el número en el selector de cantidad del carrito.,El sistema recalculará automáticamente el precio total del carrito.
HU-010,Como una clienta.,Necesito eliminar prendas de mi carrito.,Con la finalidad de descartar artículos que ya no quiero.,1,Eliminación de ítem.,En caso que el carrito tenga productos.,Cuando haga clic en el botón de eliminar (papelera) junto a una prenda.,El sistema removerá la prenda de la lista y restará su valor del total acumulado.
HU-011,Como una clienta.,Necesito ingresar mis datos de envío en un formulario.,Con la finalidad de proporcionar la información para la entrega.,1,Formulario diligenciado correctamente.,En caso que todos los campos obligatorios contengan información con el formato adecuado.,"Cuando presione el botón ""Continuar al resumen"".","El sistema guardará temporalmente los datos y habilitará el botón final de ""Confirmar Pedido""."
,,,,2,Datos obligatorios faltantes.,"En caso que se omita la dirección, ciudad o teléfono en el formulario.","Cuando presione el botón ""Continuar al resumen"".","El sistema resaltará en rojo los campos vacíos y mostrará una alerta indicando ""Por favor complete los campos requeridos""."
HU-013,Como una clienta.,Necesito registrarme creando una cuenta de usuario.,Con la finalidad de guardar mi información para futuras compras.,1,Registro de nuevo usuario.,En caso que el correo electrónico no esté registrado previamente.,Cuando envíe el formulario de registro con datos válidos.,El sistema creará el perfil en la base de datos y redirigirá a la pantalla de inicio de sesión.
HU-014,Como una clienta.,Necesito iniciar sesión con mi correo y contraseña.,Con la finalidad de acceder a mi historial de pedidos.,1,Autenticación exitosa.,En caso que el correo y la contraseña ingresados coincidan con los de la base de datos.,"Cuando ingrese sus datos y presione ""Ingresar"".",El sistema concederá el acceso y redirigirá a la vista del perfil.
,,,,2,Credenciales incorrectas.,En caso que la contraseña no coincida con la registrada para ese correo.,"Cuando ingrese sus datos y presione ""Ingresar"".","El sistema denegará el acceso y mostrará el mensaje ""Correo o contraseña incorrectos""."
,,,,3,Cuenta no registrada.,En caso que el correo ingresado no exista en la base de datos de usuarios.,"Cuando ingrese sus datos y presione ""Ingresar"".","El sistema mostrará el mensaje ""El usuario no existe. Por favor, regístrese""."
HU-017,Como una clienta.,Necesito acceder a una sección de Preguntas Frecuentes.,Con la finalidad de resolver dudas rápidas sobre envíos o tallas.,1,Visualización de FAQ.,En caso que el administrador haya registrado preguntas en el sistema.,"Cuando acceda a la sección ""Ayuda / FAQ"".","El sistema listará las preguntas y al hacer clic en una, desplegará su respectiva respuesta."
HU-018,Como una clienta.,Necesito ver los enlaces de contacto y redes sociales.,Con la finalidad de comunicarme directamente si tengo un problema.,1,Acceso a redes.,En caso de navegar por cualquier página de la tienda.,Cuando se desplace hasta la parte inferior (footer) de la página.,"El sistema mostrará los iconos de WhatsApp, Instagram y el correo oficial con sus respectivos enlaces."
HU-019,Como una vendedora,Necesito iniciar sesión en un panel de control.,Con la finalidad de gestionar la plataforma de forma segura.,1,Autenticación de administrador.,"En caso que el usuario tenga el rol de ""Admin"" en la base de datos.",Cuando ingrese las credenciales en la ruta de administración.,El sistema permitirá el acceso al Dashboard administrativo.
HU-020,Como una vendedora,Necesito ver un panel resumen (Dashboard).,Con la finalidad de monitorear la cantidad de pedidos pendientes del día.,1,Carga de métricas.,En caso de iniciar sesión correctamente.,Cuando cargue la vista principal del panel administrativo.,"El sistema mostrará tarjetas informativas con el conteo de pedidos nuevos, en proceso y completados."
HU-021,Como una vendedora,Necesito registrar un nuevo producto en el catálogo.,Con la finalidad de ofrecer nueva mercancía a las clientas.,1,Creación de producto exitosa.,"En caso que se completen todos los datos (nombre, precio, foto) correctamente.","Cuando presione ""Guardar Producto"" en el panel administrativo.","El sistema insertará el registro, confirmará la creación y limpiará el formulario."
,,,,2,Error por precio inválido.,En caso que el campo de precio contenga letras o un valor negativo.,"Cuando presione ""Guardar Producto"" en el panel administrativo.","El sistema bloqueará el guardado y mostrará la alerta ""El precio debe ser un valor numérico positivo""."
HU-023,Como una vendedora,Necesito editar la información de un producto.,Con la finalidad de corregir precios o descripciones.,1,Modificación de producto.,"En caso de seleccionar la opción ""Editar"" en la lista de productos.",Cuando cambie los datos en el formulario y confirme la edición.,El sistema sobrescribirá la información anterior en la base de datos con los nuevos valores.
HU-024,Como una vendedora,Necesito ocultar un producto temporalmente.,Con la finalidad de retirarlo del catálogo sin borrar su historial.,1,Cambio de estado del producto.,En caso que el producto esté actualmente activo.,"Cuando cambie el estado del producto a ""Inactivo"".",El sistema dejará de mostrar la prenda en el catálogo público inmediatamente.
HU-025,Como una vendedora,Necesito ver el listado general de pedidos.,Con la finalidad de organizar el despacho de la mercancía.,1,Listado de órdenes.,En caso que existan pedidos registrados en la base de datos.,"Cuando acceda a la sección ""Gestión de Pedidos"".","El sistema mostrará una tabla con el número de orden, fecha, nombre del cliente y estado actual."
HU-026,Como una vendedora,Necesito ver el detalle específico de un pedido.,Con la finalidad de saber exactamente qué prendas empacar y a dónde enviar.,1,Detalle de orden.,"En caso de hacer clic en el botón ""Ver detalle"" de un pedido.",Cuando se abra la vista del pedido seleccionado.,"El sistema mostrará los datos del cliente, la dirección completa y el listado de prendas con sus tallas."
HU-027,Como una vendedora,Necesito cambiar el estado de un pedido.,Con la finalidad de llevar un control logístico.,1,Actualización de estado permitida.,En caso que se seleccione un estado lógico consecutivo (Ej. de Pendiente a Enviado).,Cuando cambie el selector de estado y guarde.,El sistema actualizará el registro y registrará la fecha del cambio.
,,,,2,Cancelación de pedido.,En caso que el pedido deba anularse por falta de stock u otro problema.,"Cuando cambie el estado a ""Cancelado"" y guarde.",El sistema marcará la orden como cancelada y liberará el inventario reservado para ese pedido.
HU-029,Como una vendedora,Necesito gestionar las Preguntas Frecuentes.,Con la finalidad de mantener la información de ayuda actualizada.,1,Edición de FAQ.,En caso de acceder al módulo de configuración de la tienda.,Cuando agregue o modifique una pregunta y respuesta y guarde los cambios.,El sistema actualizará inmediatamente la sección de FAQ en la vista de las clientas.
HU-030,Como una vendedora,Necesito cerrar mi sesión.,Con la finalidad de proteger la administración si me alejo del equipo.,1,Cierre de sesión seguro.,En caso de tener una sesión administrativa activa.,"Cuando haga clic en el botón ""Cerrar Sesión"".",El sistema destruirá el token de acceso y redirigirá a la pantalla de login.
HU-031,Como una administradora,Necesito acceder a un registro de auditoría de acciones del sistema.,Con la finalidad de supervisar y controlar las modificaciones realizadas por las vendedoras en la plataforma.,1,Visualización de logs de actividad.,"En caso de que se hayan realizado cambios en productos, precios o estados de pedidos.","Cuando acceda a la sección de ""Auditoría / Logs"" en el panel de control.","El sistema mostrará un listado cronológico con el nombre de la vendedora, la acción realizada, el elemento afectado y la fecha/hora."
HU-032,Como una administradora,Necesito visualizar reportes de rendimiento y ventas por vendedora.,Con la finalidad de evaluar la efectividad y el cumplimiento de metas de cada integrante del equipo de ventas.,1,Generación de métricas individuales.,En caso de que existan pedidos completados asociados a diferentes perfiles de vendedora.,Cuando seleccione el nombre de una vendedora y un rango de fechas en el módulo de reportes.,"El sistema generará un resumen con el total de ventas, número de pedidos procesados y promedio de atención por vendedora."
HU-033,Como una administradora,Necesito revisar y aprobar ajustes manuales de inventario solicitados por las vendedoras.,Con la finalidad de garantizar que no existan fugas de mercancía o errores no justificados en el stock.,1,Aprobación de ajustes de stock.,En caso de que una vendedora reporte una merma o ajuste manual en la cantidad de un producto.,Cuando la administradora revise las solicitudes pendientes en el módulo de inventario.,"El sistema permitirá validar el motivo del ajuste y, tras la aprobación, actualizará las existencias en el catálogo público."
