,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,REQUISITO FUNCIONAL,,REGLAS DEL NEGOCIO,,REQUISITOS DE INFORMACION,
Módulo,Subprocesos,Nro.,Descripción,Nro.,Descripción,Nro.,Descripción
Seguridad y Usuarios,Auto-registro de Clientes,RF-003,El sistema debe permitir a los visitantes registrarse de forma autónoma desde el front-end público para habilitar sus funciones de compra.,RN_003,"RN_04.1:  Todo registro público asignará por defecto de forma estricta el rol ( Cliente (fk_id_rol = 3)). 

 RN_04.2:  El correo electrónico ingresado debe ser único y no existir previamente en la base de datos.",RI_003,"Afecta a la tabla usuarios. Registra obligatoriamente: fk_id_rol, email, contrasena (encriptada con bcrypt), y estado (activo por defecto)."
,Inicio de Sesión Seguro,RF-003b,"El sistema debe validar la identidad de los usuarios (Clientes, Vendedoras y Administradoras) mediante sus credenciales para otorgar acceso al sistema.",RN_003b,"RN_04.3:  Las contraseñas deben cumplir con una longitud mínima de 8 caracteres, incluyendo mayúsculas, minúsculas y números. 

 RN_04.4:  (Opcional) Bloqueo temporal de cuenta tras 3 intentos fallidos por 15 minutos.",RI_003b,"Lee de la tabla usuarios. Al completarse, genera una sesión segura (token o cookie) y registra el evento de acceso exitoso en la tabla logs_auditoria."
,Cierre de Sesión Seguro,RF-003c,"El sistema debe permitir al usuario autenticado destruir su sesión de forma explícita en cualquier momento, invalidando sus tokens de acceso.",RN_003c,"RN_04.5:  Al cerrar sesión, se debe limpiar el almacenamiento de la sesión del navegador y redirigir inmediatamente a la vista de inicio pública, bloqueando el botón ""Atrás"".",RI_003c,"Registra la fecha, hora y el ID del usuario que finalizó la sesión en la tabla  ."
,Consulta y Gestión de Perfil,RF-003d,Los usuarios autenticados deben poder consultar sus datos y actualizar su información de contacto o despacho predeterminada.,RN_003d,RN_04.6:  Un usuario con rol   solo puede consultar y modificar sus propios datos. No puede alterar su rol ni su estado dentro del sistema.,RI_003d,"Actualiza los campos  nombre, apellido, telefono, direccion_envio y ciudad en la tabla usuarios."
,CRUD de Personal,RF-003e,"El panel administrativo debe permitir la creación, consulta, actualización y desactivación (CRUD) de usuarios del sistema, habilitando el alta de nuevas vendedoras o administradoras.",RN_003e,"RN_04.7:  La creación y asignación de los roles ( ) y ( ) queda restringida exclusivamente al usuario con rol de  . 

 RN_04.8:  Ningún usuario del personal operativo podrá ser eliminado físicamente de la base de datos si posee registros asociados en auditoría o pedidos; se aplicará un apagado lógico cambiando  .",RI_003e,"Impacta de forma directa las tablas  usuarios y roles  . Cada alta, modificación o baja lógica genera obligatoriamente una traza detallada en   con los valores anteriores y nuevos."
,Solicitud de Recuperación de Contraseña,RF-003f,El sistema debe ofrecer un mecanismo en la vista de Login que permita a los usuarios solicitar la restauración de su acceso mediante el ingreso de su correo electrónico registrado.,RN_003f,"El correo ingresado debe existir en la tabla de usuarios; si no existe, el sistema notificará un error genérico por seguridad para evitar la extracción de correos válidos. El token de seguridad generado tendrá un único uso y una vigencia máxima estricta de 60 minutos antes de caducar.",RI_003f,"Afecta de forma directa a la tabla logs_auditoria para registrar el intento y genera una inserción de control temporal que debe incluir un token criptográfico único, el ID del usuario vinculado y la marca de tiempo de expiración."
,Restablecimiento Seguro de Credenciales,RF-003g,El sistema debe validar el token temporal enviado al usuario y permitir la asignación de una nueva contraseña de acceso.,RN_003g,"La nueva contraseña proporcionada por el usuario debe encriptarse obligatoriamente bajo el algoritmo robusto bcrypt antes de ser almacenada y debe cumplir con la longitud mínima de 8 caracteres, incluyendo mayúsculas, minúsculas y números.",RI_003g,"Ejecuta una sentencia de actualización (UPDATE) sobre la tabla usuarios en el campo contrasena filtrando por el ID de usuario validado, e invalida inmediatamente el token temporal utilizado."
Catálogo e Inventario,Gestión de Productos,RF-004,"El sistema debe permitir a los usuarios autorizados registrar nuevos productos de ropa femenina ingresando como mínimo nombre de la prenda, categoría, descripción, precio, imagen y estado, asociándolos a una categoría existente.",RN_004,No se permitirá guardar un producto si no se han diligenciado los campos obligatorios. El precio debe ser un valor numérico mayor que cero y el producto deberá asociarse a una categoría existente.,RI_004a,"Tabla producto: id_producto (PK), id_categoria (FK), nombre, descripcion, precio, imagen, estado, fecha_creacion."
,,RF-004b,"El sistema debe permitir a los usuarios con rol administrativo cambiar el estado (baja o eliminación lógica) de un producto del catálogo, cambiando su estado a inactivo para suspender su visualización pública sin destruir su integridad referencial histórica.",RN_004b,"No se permitirá la eliminación física (DELETE) de productos que cuenten con registros asociados en auditoría, pedidos previos o existencias en variantes. Se aplicará un borrado lógico actualizando el campo estado = 0 (inactivo).",RI_004b,"Actualiza el campo estado en la tabla productos y registra la traza del cambio (usuario, fecha, hora, estado anterior y nuevo) en la tabla auditoria."
,,RF-004c,"El sistema debe permitir a los usuarios autorizados modificar la información básica de un producto existente (nombre, descripción, categoría, precio base y estado), validando la coherencia de los datos ingresados.",RN_004c,El precio actualizado debe ser un valor numérico mayor a cero. Cualquier cambio sobre el precio o la categoría debe generar un evento de auditoría automática con el valor previo y el nuevo.,RI_004c,"Actualiza los campos nombre_producto, descripcion_producto, precio_detallista, id_categoria en la tabla productos e inserta el registro correspondiente en la tabla auditoria."
,,RF-004d,"El panel administrativo debe permitir consultar el listado general de prendas registradas, ofreciendo herramientas de búsqueda por nombre, filtro por categoría y filtro por estado (activo/inactivo).",RN_004d,"La vista administrativa mostrará tanto los productos activos como los inactivos, indicando su stock consolidado y permitiendo el acceso directo a la edición o gestión de variantes.",RI_004d,"Ejecuta una consulta relacional SELECT sobre las tablas productos, categorias e inventario_variantes agrupando el stock total por producto."
,Control de Inventario por Variantes,RF-005,"El sistema debe permitir asociar a cada producto las diferentes combinaciones disponibles de talla y color, generando una variante específica para cada combinación.",RN_005,"No se permitirá registrar dos veces la misma combinación de producto, talla y color.",RI_005,"Tabla producto_atributo o inventario_variantes: id_producto_atributo (PK), id_producto (FK), id_talla (FK), id_color (FK), estado, stock_disponible."
